collection,url,description,color,sku,price,qty_info,dimensions,params
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Dark Grey,4635,$83.31,sq. ft.,"12″ x 14″, 30cm x 35.5cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:927 - Light Pewter"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Greige,4625,$9.14,sq. ft.,"24″ x 24″, 60cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Greige,4626,$9.22,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Greige,4628,$83.31,sq. ft.,"12″ x 14″, 30cm x 35.5cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Light Grey,4639,$9.14,sq. ft.,"24″ x 24″, 60cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Light Grey,4640,$9.22,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",Light Grey,4642,$83.31,sq. ft.,"12″ x 14″, 30cm x 35.5cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:939 - Mist"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",White,4617,$9.14,sq. ft.,"24″ x 24″, 60cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:949 - Silverado"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",White,4619,$9.22,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:949 - Silverado"
Abaco,https://www.centura.ca/en/products/tile/porcelain/abaco/,"These porcelain tiles look like natural stone. With its incredibly natural appearance, characterized by different colours that give movement to the surfaces, its particularly warm colours and its different sizes, Abaco is a collection to keep in mind to create countless kinds of settings, each more original than the last.",White,4621,$83.31,sq. ft.,"12″ x 14″, 30cm x 35.5cm","Thickness:10mm, Rectified tile, Nuance:V3 Moderate, R rating:R10, Frost resistance, Suggested grout:949 - Silverado"
Aberdeen,https://www.centura.ca/en/products/tile/porcelain/aberdeen/,Aberdeen is an expertly selected collection of glazed porcelain floor tile for residential application.,Earth,ABEA18,$3.78,sq. ft.,"18″ x 18″, 45cm x 45cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:4, R rating:R9, Frost resistance, Suggested grout:908 - Dove Gray"
Aberdeen,https://www.centura.ca/en/products/tile/porcelain/aberdeen/,Aberdeen is an expertly selected collection of glazed porcelain floor tile for residential application.,Fresno Grey,FRGR18,$3.78,sq. ft.,"18″ x 18″, 45cm x 45cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:4, R rating:R9, Frost resistance, Suggested grout:949 - Silverado"
Aberdeen,https://www.centura.ca/en/products/tile/porcelain/aberdeen/,Aberdeen is an expertly selected collection of glazed porcelain floor tile for residential application.,Urban,ABUR18,$3.78,sq. ft.,"18″ x 18″, 45cm x 45cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:4, R rating:R9, Frost resistance, Suggested grout:939 - Mist"
Abrasive,https://www.centura.ca/en/products/tile/porcelain/abrasive/,"Unglazed quarry tiles in natural, through-the-body colours for demanding applications indoors and out.  Available in two colors, it features a silicon carbide embedded surface for added slip resistance. They are really made to last.",Cherokee Red,AC3476,$6.04,sq. ft.,"6″ x 6″, 15cm x 15cm","Thickness:9.5mm, Nuance:V1 Uniform, Suggested grout:944 - Light Chocolate"
Abrasive,https://www.centura.ca/en/products/tile/porcelain/abrasive/,"Unglazed quarry tiles in natural, through-the-body colours for demanding applications indoors and out.  Available in two colors, it features a silicon carbide embedded surface for added slip resistance. They are really made to last.",Cherokee Red,AC347Q1665RE,$4.97,each,"6″ x 6″, 15cm x 15cm","Thickness:9.5mm, Nuance:V1 Uniform, Suggested grout:944 - Light Chocolate"
Abrasive,https://www.centura.ca/en/products/tile/porcelain/abrasive/,"Unglazed quarry tiles in natural, through-the-body colours for demanding applications indoors and out.  Available in two colors, it features a silicon carbide embedded surface for added slip resistance. They are really made to last.",Cadet Grey,AC3586,$6.04,sq. ft.,"6″ x 6″, 15cm x 15cm","Thickness:9.5mm, Nuance:V1 Uniform"
Acadia,https://www.centura.ca/en/products/tile/porcelain/acadia/,The Acadia porcelain tiles are ideal for covering commercial or residential project floors. They will give your environment a calm and elegant appearance where living will be a blessing.,Grey,ACGR1322,$2.84,sq. ft.,"13″ x 22″, 32cm x 57cm","Thickness:7mm, Nuance:V3 Moderate, PEI:4, Suggested grout:939 - Mist"
Acadia,https://www.centura.ca/en/products/tile/porcelain/acadia/,The Acadia porcelain tiles are ideal for covering commercial or residential project floors. They will give your environment a calm and elegant appearance where living will be a blessing.,Silver,ACGR1322,$2.84,sq. ft.,"13″ x 22″, 32cm x 57cm","Thickness:7mm, Nuance:V3 Moderate, PEI:4, Suggested grout:939 - Mist"
Acadia,https://www.centura.ca/en/products/tile/porcelain/acadia/,The Acadia porcelain tiles are ideal for covering commercial or residential project floors. They will give your environment a calm and elegant appearance where living will be a blessing.,White,ACWH1322,$2.84,sq. ft.,"13″ x 22″, 32cm x 57cm","Thickness:8mm, Nuance:V3 Moderate, PEI:4, Suggested grout:909 - Sterling"
Alpine,https://www.centura.ca/en/products/tile/porcelain/alpine/,"Concrete is a very versatile material. Thanks to its many types of finish, it is used extensively by architects and interior designers. The Alpine Porcelain Ceramic Tile Series reproduces a slightly lustrous, lappato-style concrete that can be used on floor or walls. Its appearance allows an easy integration into decors where a sleek style is sought.",Ice,ALIC1224LP,$5.65,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Nuance:V2 Slight, PEI:4, Frost resistance, Suggested grout:908 - Dove Gray"
Alpine,https://www.centura.ca/en/products/tile/porcelain/alpine/,"Concrete is a very versatile material. Thanks to its many types of finish, it is used extensively by architects and interior designers. The Alpine Porcelain Ceramic Tile Series reproduces a slightly lustrous, lappato-style concrete that can be used on floor or walls. Its appearance allows an easy integration into decors where a sleek style is sought.",Meadow,ALME1224LP,$5.65,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Nuance:V2 Slight, PEI:4, Frost resistance, Suggested grout:939 - Mist"
Alpine,https://www.centura.ca/en/products/tile/porcelain/alpine/,"Concrete is a very versatile material. Thanks to its many types of finish, it is used extensively by architects and interior designers. The Alpine Porcelain Ceramic Tile Series reproduces a slightly lustrous, lappato-style concrete that can be used on floor or walls. Its appearance allows an easy integration into decors where a sleek style is sought.",Cinder,ALCI1224LP,$5.65,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Nuance:V2 Slight, PEI:3, Frost resistance, Suggested grout:934 - DeLorean Gray"
Alsacia,https://www.centura.ca/en/products/tile/porcelain/alsacia/,"Alsacia porcelain tiles with their beautiful white marble texture delicately veined with grey will bring a lot of elegance to your walls and floors. For a classic design at a low price, this is the collection to adopt!",Alsacia,ALSACIA,$5.00,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9.4mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:949 - Silverado"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Blanco,46TL02R,$7.00,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:5, R rating:R10, Frost resistance, Suggested grout:949 - Silverado"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Blanco,52TL05R,$7.74,sq. ft.,"24″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:5, R rating:R10, Frost resistance, Suggested grout:949 - Silverado"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Gris,46TL32R,$7.00,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:4, R rating:R10, Frost resistance, Suggested grout:908 - Dove Gray"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Gris,52TL35R,$7.74,sq. ft.,"24″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:4, R rating:R10, Frost resistance, Suggested grout:908 - Dove Gray"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Marfil,46TL42R,$7.00,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:5, R rating:R10, Frost resistance, Suggested grout:909 - Sterling"
Altai,https://www.centura.ca/en/products/tile/porcelain/altai/,"Beautiful, elegant and with a large network of veins, the Altai series is the perfect collection to create natural yet modern atmospheres thanks to its original design. Noble, bright and warm, it has a palette of tones linking it with the ever-noble marble.",Marfil,52TL45R,$7.74,sq. ft.,"24″ x 24″, 30cm x 60cm","Thickness:10mm, Nuance:V4 Substantial variation, PEI:5, R rating:R10, Frost resistance, Suggested grout:909 - Sterling"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Grey,ALTAGR1224M,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, R rating:R9, Frost resistance"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Grey,ALTAGR1224P,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, Frost resistance"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Pearl,ALTAPE1224M,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, R rating:R9, Frost resistance"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Pearl,ALTAPE1224P,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, Frost resistance"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Silver,ALTASI1224M,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, R rating:R9, Frost resistance"
Altamura,https://www.centura.ca/en/products/tile/porcelain/altamura/,A classic and timeless elegance… Altamura is a glazed porcelain with strong marble-like veins offering a truly unique contrasting appearance. It can be used on all surfaces of a bathroom or living room designed with a sophisticated look in mind.,Silver,ALTASI1224P,$7.03,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:9mm, Rectified tile, Nuance:V2 Slight, PEI:3, Frost resistance"
Amazonia,https://www.centura.ca/en/products/tile/porcelain/amazonia/,"Amazonia is a glazed porcelain that captures the natural elegance, warmth, and movement of hardwood. Inspired by beautiful Brazilian woods, it creates stunning long-lasting floors with minimal maintenance.",Amendoa,AMAM836,$4.75,sq. ft.,"8″ x 36″, 20cm x 90cm","Thickness:10.5mm, Nuance:V3 Moderate, PEI:3, R rating:R10, Frost resistance, Suggested grout:961 - Sandstone beige"
Amazonia,https://www.centura.ca/en/products/tile/porcelain/amazonia/,"Amazonia is a glazed porcelain that captures the natural elegance, warmth, and movement of hardwood. Inspired by beautiful Brazilian woods, it creates stunning long-lasting floors with minimal maintenance.",Canela,AMCA836,$4.75,sq. ft.,"8″ x 36″, 20cm x 90cm","Thickness:10.5mm, Nuance:V3 Moderate, PEI:3, R rating:R10, Frost resistance, Suggested grout:932 - Moka"
Amazonia,https://www.centura.ca/en/products/tile/porcelain/amazonia/,"Amazonia is a glazed porcelain that captures the natural elegance, warmth, and movement of hardwood. Inspired by beautiful Brazilian woods, it creates stunning long-lasting floors with minimal maintenance.",Oliva,AMOL836,$4.75,sq. ft.,"8″ x 36″, 20cm x 90cm","Thickness:10.5mm, Nuance:V3 Moderate, PEI:3, R rating:R10, Frost resistance, Suggested grout:932 - Moka"
Ansel,https://www.centura.ca/en/products/tile/porcelain/ansel/,The Ansel series is a glazed porcelain collection with a concrete-like pattern. Its subtle veining is a reminder of the look of simple natural stones.,Ivory,ANIV1224,$3.91,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:4, R rating:R9, Frost resistance, Suggested grout:931 - Standard White"
Ansel,https://www.centura.ca/en/products/tile/porcelain/ansel/,The Ansel series is a glazed porcelain collection with a concrete-like pattern. Its subtle veining is a reminder of the look of simple natural stones.,Light Grey,ANLG1224,$3.91,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:4, R rating:R9, Frost resistance, Suggested grout:903 - Birch"
Ansel,https://www.centura.ca/en/products/tile/porcelain/ansel/,The Ansel series is a glazed porcelain collection with a concrete-like pattern. Its subtle veining is a reminder of the look of simple natural stones.,Dark Grey,ANDG1224,$3.91,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:3, R rating:R9, Frost resistance, Suggested grout:934 - DeLorean Gray"
Ansel,https://www.centura.ca/en/products/tile/porcelain/ansel/,The Ansel series is a glazed porcelain collection with a concrete-like pattern. Its subtle veining is a reminder of the look of simple natural stones.,Black,ANBL1224,$3.91,sq. ft.,"12″ x 24″, 30cm x 60cm","Thickness:8.5mm, Nuance:V2 Slight, PEI:3, R rating:R9, Frost resistance, Suggested grout:929 - Charcoal gray"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Bianco,360605P1224,$9.69,sq. ft.,"24″ x 12″, 60cm x 30cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:949 - Silverado"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Bianco,30605PHEX,$53.38,sq. ft.,"11.5″ x 11.5″, 29.3cm x 29.4cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:949 - Silverado"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Blu,360607P1224,$9.69,sq. ft.,"24″ x 12″, 60cm x 30cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:934 - DeLorean Gray"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Blu,30607PHEX,$53.38,sq. ft.,"11.5″ x 11.5″, 29.3cm x 29.4cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:934 - DeLorean Gray"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Grigio,360602P1224,$9.69,sq. ft.,"24″ x 12″, 60cm x 30cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, Frost resistance, Suggested grout:939 - Mist"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Grigio,30602PHEX,$53.38,sq. ft.,"11.5″ x 11.5″, 29.3cm x 29.4cm","Thickness:10mm, Nuance:V3 Moderate, PEI:4, R rating:N/A, Frost resistance, Suggested grout:939 - Mist"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Nero,360637P1224,$9.69,sq. ft.,"24″ x 12″, 60cm x 30cm","Thickness:10mm, Nuance:V3 Moderate, PEI:3, Frost resistance, Suggested grout:941 - Raven"
Aqua,https://www.centura.ca/en/products/tile/porcelain/aqua/,"The combination of water and sediment deposited at the bottom of the sea over the centuries has allowed the creation of marbles with sublime and varied colours. The Aqua glazed porcelain collection pays a fine tribute to these stones thanks to its soft colours and a faithful reproduction of their structure.  Aqua, a new contemporary classic for a breathtaking setting!",Nero,30637PHEX,$53.38,sq. ft.,"11.5″ x 11.5″, 29.3cm x 29.4cm","Thickness:10mm, Nuance:V3 Moderate, PEI:3, Frost resistance, Suggested grout:941 - Raven"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",Grey,8033725,$3.71,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:7.4mm, Nuance:V2 Slight, PEI:4"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",Grey,8033728,$3.51,sq. ft.,"18″ x 18″, 45cm x 45cm","Thickness:7.4mm, Nuance:V2 Slight, PEI:4"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",Grey,8033722,$3.58,sq. ft.,"8″ x 12″, 20cm x 30cm","Thickness:7.2mm, Nuance:V2 Slight, PEI:4"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",Grey,8033773,$21.45,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:7.2mm, Nuance:V2 Slight, PEI:4"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",White,8033724,$3.71,sq. ft.,"12″ x 12″, 30cm x 30cm","Thickness:7.4mm, Nuance:V2 Slight, PEI:4"
Ardenne,https://www.centura.ca/en/products/tile/porcelain/ardenne/,"Ardenne is a complete wall and floor ceramic tile collection. All in a natural finish, these ceramic tiles accomplish a warmth and purity desired in any residential space.",White,8033727,$3.51,sq. ft.,"18″ x 18″, 45cm x 45cm","Thickness:7.4mm, Nuance:V2 Slight, PEI:4"
